petition_id,c0,c1,c2,c3
975,279,38,30,26
980,515,215,191,232
981,561,172,123,49
982,168,207,231,29
983,468,153,108,35
984,294,66,42,54
985,385,110,111,44
987,133,383,276,385
990,653,458,389,423
996,627,310,262,384
1003,361,62,45,14
1006,758,474,404,430
1008,84,260,271,32
1009,657,349,303,399
1010,438,412,351,387
1013,155,263,267,79
1016,50,127,75,156
1025,93,288,309,42
1029,166,460,376,415
1043,24,37,39,8
1052,253,136,120,248
