WA,12
DE,2
DC,1
WI,6
WV,4
HI,1
FL,31
WY,3
NH,1
NJ,8
NM,4
TX,38
LA,7
NC,14
ND,2
NE,4
TN,10
NY,19
PA,15
NV,5
VA,18
CO,12
CA,21
AL,6
AR,4
VT,1
IL,12
GA,8
IN,11
IA,1
OK,12
AZ,9
ID,7
CT,8
ME,4
MD,9
MA,3
OH,16
UT,4
MO,13
MN,11
MI,7
KS,5
MT,3
MS,2
SC,6
KY,6
OR,4
